director_id,name,nationality,birth_year,biography
1,Akira Kurosawa,Japanese,1910,Master of Japanese cinema known for epic samurai films and psychological dramas.
2,Federico Fellini,Italian,1920,"Pioneer of Italian neorealism and later art-house cinema, celebrated for dreamlike narratives."
3,Ingmar Bergman,Swedish,1918,Renowned for existential and psychological explorations of the human condition.
4,Stanley Kubrick,American,1928,"Perfectionist auteur spanning horror, sci-fi, and historical drama with meticulous visual style."
5,Jean-Luc Godard,French,1930,"Founding figure of the French New Wave, known for radical narrative and editorial experimentation."
6,François Truffaut,French,1932,Key New Wave director whose semi-autobiographical works redefined coming-of-age cinema.
7,Orson Welles,American,1915,Innovative filmmaker whose Citizen Kane revolutionised cinematography and narrative structure.
8,Alfred Hitchcock,British,1899,Master of suspense whose psychological thrillers set the template for modern genre filmmaking.
9,Francis Ford Coppola,American,1939,"Director of The Godfather trilogy and Apocalypse Now, defining American New Hollywood cinema."
10,Martin Scorsese,American,1942,"New York filmmaker celebrated for crime dramas, documentary work, and film preservation advocacy."
11,Andrei Tarkovsky,Russian,1932,"Soviet auteur known for deeply meditative, visually poetic explorations of memory and spirituality."
12,Wong Kar-wai,Hong Kong,1958,"Celebrated for lyrical, fragmented storytelling and saturated visual style in Hong Kong cinema."
13,Pedro Almodóvar,Spanish,1949,"Spanish auteur known for melodramatic, colourful explorations of identity, desire, and family."
14,Abbas Kiarostami,Iranian,1940,Iranian master whose minimalist approach blurred the line between documentary and fiction.
15,Terrence Malick,American,1943,"Philosophical filmmaker known for sparse dialogue and transcendent, nature-infused imagery."
16,David Lynch,American,1946,Surrealist auteur whose films explore the disturbing undercurrents of American suburban life.
17,Agnès Varda,French,1928,"Pioneer of the French New Wave and feminist cinema, celebrated for playful documentary hybrids."
18,Ousmane Sembène,Senegalese,1923,"Father of African cinema, whose films gave voice to post-colonial West African experience."
19,Chantal Akerman,Belgian,1950,Minimalist filmmaker whose Jeanne Dielman redefined feminist and structural cinema.
20,Satyajit Ray,Indian,1921,Bengali auteur whose Apu Trilogy brought Indian cinema to international acclaim.
