review_id,user_id,film_id,body,rating,created_at,is_flagged
1,1,55,"A bit overrated in my opinion, though still worth a watch.",6,2022-07-31 13:30:53,0
2,1,27,An absolute classic! I can watch this over and over.,7,2021-10-02 17:10:21,0
3,1,19,"It was decent, but I felt the ending was a bit rushed.",9,2023-01-21 01:46:36,0
4,1,26,A masterful piece of cinema that leaves a lasting impact.,10,2021-09-09 10:44:17,0
5,1,12,Captivating from start to finish. Essential viewing.,6,2024-12-01 23:52:38,0
6,1,7,A thought-provoking narrative with stunning visuals.,6,2020-08-10 11:49:41,1
7,1,48,"A bit overrated in my opinion, though still worth a watch.",7,2024-08-17 16:02:27,0
8,2,28,"A bit overrated in my opinion, though still worth a watch.",10,2023-02-25 05:49:43,0
9,2,59,Captivating from start to finish. Essential viewing.,6,2022-03-31 23:51:39,0
10,2,8,A thought-provoking narrative with stunning visuals.,9,2022-03-15 06:44:05,0
11,2,44,A thought-provoking narrative with stunning visuals.,9,2020-11-20 19:24:09,0
12,3,40,"It was decent, but I felt the ending was a bit rushed.",6,2022-02-22 21:34:38,0
13,3,44,"Incredible performances across the board, truly a work of art.",6,2024-09-10 07:25:56,1
14,3,57,A masterful piece of cinema that leaves a lasting impact.,8,2020-06-10 12:00:37,0
15,3,55,"A bit overrated in my opinion, though still worth a watch.",9,2020-07-30 14:29:10,0
16,3,21,An absolute classic! I can watch this over and over.,9,2020-03-15 12:29:42,0
17,3,19,Brilliant cinematography but the pacing felt a bit slow at times.,8,2023-03-26 02:47:41,0
18,4,14,A thought-provoking narrative with stunning visuals.,7,2024-10-24 20:02:11,0
19,4,27,Brilliant cinematography but the pacing felt a bit slow at times.,10,2020-11-22 09:02:04,0
20,4,34,Captivating from start to finish. Essential viewing.,8,2023-10-11 05:39:08,0
21,4,20,"It was decent, but I felt the ending was a bit rushed.",10,2024-05-30 00:39:13,0
22,4,16,A technical marvel. The director really outdid themselves.,8,2024-06-03 13:28:21,0
23,5,33,A thought-provoking narrative with stunning visuals.,9,2024-08-07 10:47:18,0
24,5,34,An absolute classic! I can watch this over and over.,10,2024-09-28 05:22:58,0
25,5,41,"A bit overrated in my opinion, though still worth a watch.",6,2020-12-13 19:14:22,0
26,8,38,A technical marvel. The director really outdid themselves.,9,2021-06-03 21:26:52,0
27,8,46,"A bit overrated in my opinion, though still worth a watch.",6,2024-09-15 02:58:23,0
28,8,23,One of the best movies in its genre. Highly recommended.,7,2023-01-18 14:00:27,0
29,8,25,"Incredible performances across the board, truly a work of art.",6,2021-04-07 13:48:58,0
30,8,52,A masterful piece of cinema that leaves a lasting impact.,10,2022-03-23 22:40:13,0
31,8,22,A technical marvel. The director really outdid themselves.,6,2021-01-04 00:47:13,0
32,9,3,Captivating from start to finish. Essential viewing.,7,2022-01-20 18:12:35,0
33,9,43,A thought-provoking narrative with stunning visuals.,9,2024-05-22 20:35:48,0
34,9,38,An absolute classic! I can watch this over and over.,9,2023-05-11 23:51:07,0
35,10,56,"Incredible performances across the board, truly a work of art.",9,2024-01-29 17:54:10,0
36,10,51,A technical marvel. The director really outdid themselves.,10,2023-10-14 00:24:11,0
37,10,55,A technical marvel. The director really outdid themselves.,6,2023-09-19 14:54:23,0
38,11,40,Captivating from start to finish. Essential viewing.,7,2022-04-21 05:49:50,0
39,11,36,"It was decent, but I felt the ending was a bit rushed.",7,2021-07-28 03:20:49,0
40,11,3,One of the best movies in its genre. Highly recommended.,7,2022-12-25 19:56:55,0
41,12,15,Brilliant cinematography but the pacing felt a bit slow at times.,9,2020-05-06 23:45:17,0
42,12,17,Brilliant cinematography but the pacing felt a bit slow at times.,7,2023-01-22 18:13:44,0
43,12,46,"A bit overrated in my opinion, though still worth a watch.",7,2022-08-27 22:35:55,0
44,12,23,"Incredible performances across the board, truly a work of art.",7,2022-08-30 17:09:38,0
45,12,39,A technical marvel. The director really outdid themselves.,8,2020-03-25 20:58:31,0
46,12,51,Captivating from start to finish. Essential viewing.,8,2023-04-10 23:15:19,0
47,12,36,A masterful piece of cinema that leaves a lasting impact.,7,2024-05-27 03:21:57,0
48,12,7,A thought-provoking narrative with stunning visuals.,8,2024-08-28 06:42:22,0
49,13,36,A thought-provoking narrative with stunning visuals.,7,2020-02-16 18:58:24,0
50,13,1,"It was decent, but I felt the ending was a bit rushed.",6,2023-08-29 16:53:34,0
51,13,31,"It was decent, but I felt the ending was a bit rushed.",9,2021-11-02 09:13:15,0
52,13,16,"Incredible performances across the board, truly a work of art.",9,2022-11-16 02:27:07,0
53,13,43,"A bit overrated in my opinion, though still worth a watch.",8,2023-06-25 13:42:48,0
54,13,22,One of the best movies in its genre. Highly recommended.,9,2021-02-07 17:55:40,0
55,13,4,Brilliant cinematography but the pacing felt a bit slow at times.,6,2024-02-11 16:31:23,0
56,14,20,"Incredible performances across the board, truly a work of art.",10,2023-10-03 03:53:05,0
57,14,15,A thought-provoking narrative with stunning visuals.,6,2020-12-06 23:50:28,0
58,14,60,Captivating from start to finish. Essential viewing.,9,2020-04-14 04:14:18,0
59,14,7,A masterful piece of cinema that leaves a lasting impact.,10,2022-10-08 14:54:07,0
60,14,1,"It was decent, but I felt the ending was a bit rushed.",6,2021-10-04 12:54:12,0
61,14,48,"A bit overrated in my opinion, though still worth a watch.",10,2020-11-25 10:52:40,0
62,14,32,"Incredible performances across the board, truly a work of art.",9,2021-08-27 18:37:53,0
63,15,30,"A bit overrated in my opinion, though still worth a watch.",8,2020-06-19 20:18:23,0
64,15,57,A masterful piece of cinema that leaves a lasting impact.,8,2020-09-04 13:47:20,0
65,15,48,Captivating from start to finish. Essential viewing.,10,2022-05-12 02:33:38,0
66,15,8,An absolute classic! I can watch this over and over.,10,2022-10-01 01:28:40,0
67,16,40,"A bit overrated in my opinion, though still worth a watch.",6,2021-12-31 06:54:47,0
68,16,6,Captivating from start to finish. Essential viewing.,9,2022-12-08 22:44:40,0
69,16,37,"It was decent, but I felt the ending was a bit rushed.",7,2021-11-08 18:48:57,0
70,17,8,A thought-provoking narrative with stunning visuals.,8,2020-03-26 01:46:15,0
71,17,21,Captivating from start to finish. Essential viewing.,7,2020-09-18 18:55:26,0
72,17,53,"Incredible performances across the board, truly a work of art.",10,2023-06-15 16:00:16,0
73,17,31,"A bit overrated in my opinion, though still worth a watch.",7,2022-05-25 11:46:13,0
74,17,12,A technical marvel. The director really outdid themselves.,6,2020-06-24 20:40:07,0
75,17,13,One of the best movies in its genre. Highly recommended.,10,2022-02-15 23:05:40,0
76,17,48,An absolute classic! I can watch this over and over.,6,2021-05-20 15:31:25,0
77,18,9,Captivating from start to finish. Essential viewing.,10,2021-12-01 12:39:38,0
78,18,20,Captivating from start to finish. Essential viewing.,7,2023-02-17 18:19:25,0
79,18,4,An absolute classic! I can watch this over and over.,8,2023-11-05 01:18:13,0
80,18,31,Captivating from start to finish. Essential viewing.,8,2022-01-28 07:44:25,0
81,18,18,One of the best movies in its genre. Highly recommended.,10,2020-08-14 09:33:00,0
82,19,55,A technical marvel. The director really outdid themselves.,7,2023-03-09 17:03:19,0
83,19,2,"A bit overrated in my opinion, though still worth a watch.",9,2024-11-14 04:58:36,0
84,19,4,Brilliant cinematography but the pacing felt a bit slow at times.,9,2023-01-17 23:51:33,0
85,19,19,"A bit overrated in my opinion, though still worth a watch.",7,2023-04-18 00:19:25,0
86,20,16,A technical marvel. The director really outdid themselves.,6,2023-05-15 04:48:47,0
87,20,18,An absolute classic! I can watch this over and over.,9,2020-07-30 05:27:26,0
88,20,29,A technical marvel. The director really outdid themselves.,8,2020-05-08 15:53:17,0
89,20,31,"It was decent, but I felt the ending was a bit rushed.",6,2023-10-08 03:05:42,0
